ticker,stk_nm,market,sector
012030,DB,KOSPI,IT 서비스
003620,KG모빌리티,KOSPI,운송장비/부품
108320,LX세미콘,KOSPI,전기/전자
005090,SGC에너지,KOSPI,전기/가스
002710,TCC스틸,KOSPI,금속
214390,경보제약,KOSPI,제약
013580,계룡건설,KOSPI,건설
012200,계양전기,KOSPI,기계/장비
009290,광동제약,KOSPI,제약
014530,극동유화,KOSPI,화학
008350,남선알미늄,KOSPI,금속
025860,남해화학,KOSPI,화학
000490,대동,KOSPI,기계/장비
128820,대성산업,KOSPI,유통
117580,대성에너지,KOSPI,전기/가스
014160,대영포장,KOSPI,종이/목재
004140,동방,KOSPI,운송/창고
092200,디아이씨,KOSPI,운송장비/부품
000400,롯데손해보험,KOSPI,보험
009900,명신산업,KOSPI,운송장비/부품
003000,부광약품,KOSPI,제약
272550,삼양패키징,KOSPI,화학
003720,삼영,KOSPI,화학
009470,삼화전기,KOSPI,전기/전자
001820,삼화콘덴서,KOSPI,전기/전자
001290,상상인증권,KOSPI,증권
003030,세아제강지주,KOSPI,금융
336370,솔루스첨단소재,KOSPI,전기/전자
017550,수산세보틱스,KOSPI,기계/장비
035510,신세계 I&C,KOSPI,IT 서비스
001780,알루코,KOSPI,금속
037270,YG PLUS,KOSPI,IT 서비스
011690,와이투솔루션,KOSPI,전기/전자
105840,우진,KOSPI,의료/정밀기기
005950,이수화학,KOSPI,화학
249420,일동제약,KOSPI,제약
033240,자화전자,KOSPI,전기/전자
018470,조일알미늄,KOSPI,금속
044450,KSS해운,KOSPI,운송/창고
002020,코오롱,KOSPI,금융
058430,포스코스틸리온,KOSPI,금속
005810,풍산홀딩스,KOSPI,금융
178920,PI첨단소재,KOSPI,화학
004090,한국석유,KOSPI,비금속
011500,한농화성,KOSPI,화학
053690,한미글로벌,KOSPI,일반서비스
011700,한신기계,KOSPI,기계/장비
130660,한전산업,KOSPI,일반서비스
452260,한화갤러리아,KOSPI,유통
004310,현대약품,KOSPI,제약
001500,현대차증권,KOSPI,증권
010690,화신,KOSPI,운송장비/부품
098120,마이크로컨텍솔,KOSDAQ,전기/전자
009520,포스코엠텍,KOSDAQ,금속
073490,LIG아큐버,KOSDAQ,전기/전자
399720,가온칩스,KOSDAQ,전기/전자
217730,강스템바이오텍,KOSDAQ,제약
204620,글로벌텍스프리,KOSDAQ,금융
053260,금강철강,KOSDAQ,금속
282720,금양그린파워,KOSDAQ,건설
039860,나노엔텍,KOSDAQ,의료/정밀기기
417010,나노팀,KOSDAQ,기계/장비
242040,나무기술,KOSDAQ,IT 서비스
293580,나우IB,KOSDAQ,금융
267320,나인테크,KOSDAQ,기계/장비
253590,네오셈,KOSDAQ,기계/장비
085910,네오티스,KOSDAQ,운송장비/부품
033640,네패스,KOSDAQ,전기/전자
330860,네패스아크,KOSDAQ,일반서비스
348210,넥스틴,KOSDAQ,기계/장비
348340,뉴로메카,KOSDAQ,기계/장비
064260,다날,KOSDAQ,IT 서비스
039560,다산네트웍스,KOSDAQ,전기/전자
290660,다이나믹솔루션,KOSDAQ,의료/정밀기기
389260,대명에너지,KOSDAQ,건설
129920,대성하이텍,KOSDAQ,기계/장비
096350,대창솔루션,KOSDAQ,금속
393890,더블유씨피,KOSDAQ,전기/전자
317330,덕산테코피아,KOSDAQ,화학
077360,덕산하이메탈,KOSDAQ,전기/전자
194480,데브시스터즈,KOSDAQ,IT 서비스
033500,동성화인텍,KOSDAQ,화학
088130,동아엘텍,KOSDAQ,기계/장비
376300,디어유,KOSDAQ,IT 서비스
241520,DSC인베스트먼트,KOSDAQ,금융
290550,디케이티,KOSDAQ,전기/전자
