test_year,metric,value,w_xgb,w_lstm,w_cnn
2018,AUC,0.5694682878672732,1.0,0.0,0.0
2018,ACC@0.50,0.7245591005079619,0.8,0.1,0.1
2018,ACC@0.60,0.725643513498088,0.4,0.4,0.2
2018,ACC@0.65,0.7253010672906798,0.3,0.4,0.3
2018,Prec@0.50,0.5271739130434783,0.8,0.1,0.1
2018,Prec@0.60,0.7037037037037037,0.7,0.1,0.2
2018,Prec@0.65,1.0,0.6,0.3,0.1
2018,Rec@0.50,0.37551695616211744,0.0,0.0,1.0
2018,Rec@0.60,0.27977667493796526,0.0,0.0,1.0
2018,Rec@0.65,0.23759305210918114,0.0,0.0,1.0
2018,F1@0.50,0.332843227347914,0.0,0.1,0.9
2018,F1@0.60,0.2890716803760282,0.0,0.0,1.0
2018,F1@0.65,0.2660030096075935,0.0,0.0,1.0
2019,AUC,0.5770948752324809,0.6,0.3,0.1
2019,ACC@0.50,0.7184854459004987,0.7,0.2,0.1
2019,ACC@0.60,0.716977849936217,0.8,0.2,0.0
2019,ACC@0.65,0.7158181607329236,0.8,0.0,0.2
2019,Prec@0.50,0.581573896353167,0.9,0.0,0.1
2019,Prec@0.60,0.7745098039215687,0.5,0.5,0.0
2019,Prec@0.65,0.9411764705882353,0.2,0.8,0.0
2019,Rec@0.50,0.6107070707070708,0.0,1.0,0.0
2019,Rec@0.60,0.23717171717171717,0.0,0.0,1.0
2019,Rec@0.65,0.18808080808080807,0.0,0.0,1.0
2019,F1@0.50,0.4121617015474811,0.0,1.0,0.0
2019,F1@0.60,0.2823133341349044,0.0,0.0,1.0
2019,F1@0.65,0.24708067940552017,0.0,0.0,1.0
2020,AUC,0.6093306105239464,0.9,0.0,0.1
2020,ACC@0.50,0.5655114789320813,0.4,0.0,0.6
2020,ACC@0.60,0.5621692595392512,0.1,0.1,0.8
2020,ACC@0.65,0.5605777264950463,0.0,0.3,0.7
2020,Prec@0.50,0.6496350364963503,0.8,0.2,0.0
2020,Prec@0.60,0.8064516129032258,1.0,0.0,0.0
2020,Prec@0.65,0.9,0.9,0.1,0.0
2020,Rec@0.50,0.4017610497237569,0.0,1.0,0.0
2020,Rec@0.60,0.256560773480663,0.0,0.0,1.0
2020,Rec@0.65,0.21106698895027623,0.0,0.0,1.0
2020,F1@0.50,0.4503580414166828,0.0,1.0,0.0
2020,F1@0.60,0.3495648082804046,0.0,0.0,1.0
2020,F1@0.65,0.30662151993980435,0.0,0.0,1.0
2021,AUC,0.5519704505753207,0.9,0.1,0.0
