band,by,k,a,w_xgb,w_lstm,w_cnn,trades_yr,min_fold_n,winrate,avg_ret,ret_ex2020,worst_fold_ret,pos_folds,pct_2020
50-100,avg_ret,3.0,0.95,0.34,0.36,0.3,91.75,60.0,54.35967,4.70659,2.46946,-0.86034,6.0,14.30518
50-100,ret_ex2020,3.0,0.95,0.4,0.28,0.32,91.125,57.0,54.32099,4.58109,2.49566,-0.94057,7.0,14.40329
100-250,avg_ret,30.0,0.95,0.46,0.28,0.26,170.625,59.0,60.51282,9.95456,3.494,-1.52393,7.0,28.79121
100-250,ret_ex2020,30.0,0.95,0.56,0.16,0.28,188.75,66.0,60.33113,9.55623,3.88262,-0.96577,7.0,27.21854
250-500,avg_ret,30.0,0.95,0.68,0.2,0.12,253.125,135.0,59.11111,8.00549,3.30608,-1.12833,7.0,22.51852
250-500,ret_ex2020,30.0,0.95,0.72,0.12,0.16,257.125,138.0,58.67769,7.8477,3.35525,-0.87683,7.0,22.31405
500-1500,avg_ret,30.0,0.95,0.86,0.1,0.04,505.0,342.0,54.75248,5.2238,2.58893,-1.75083,7.0,13.31683
500-1500,ret_ex2020,30.0,0.95,0.88,0.08,0.04,536.375,366.0,54.323,5.08187,2.59249,-1.61081,7.0,12.72431
1500-∞,avg_ret,30.0,0.9,0.9,0.1,0.0,1522.25,1132.0,45.17162,1.78608,0.41773,-2.3212,4.0,11.5372
1500-∞,ret_ex2020,30.0,0.9,0.9,0.1,0.0,1522.25,1132.0,45.17162,1.78608,0.41773,-2.3212,4.0,11.5372
