band,by,k,a,w_xgb,w_lstm,w_cnn,trades_yr,min_fold_n,winrate,avg_ret,ret_ex2020,worst_fold_ret,pos_folds,pct_2020
50-100,avg_ret,3.0,0.95,0.46,0.24,0.3,84.5,55.0,52.81065,3.43696,1.12432,-2.59561,5.0,11.39053
50-100,ret_ex2020,3.0,0.95,0.5,0.22,0.28,86.5,59.0,52.89017,3.37062,1.18116,-2.23761,5.0,10.98266
100-250,avg_ret,30.0,0.95,0.44,0.2,0.36,155.125,72.0,57.05077,7.38058,1.99205,-2.64786,7.0,19.9033
100-250,ret_ex2020,30.0,0.95,0.68,0.08,0.24,243.0,124.0,56.17284,6.88299,2.23691,-2.80676,7.0,18.77572
250-500,avg_ret,30.0,0.95,0.7,0.08,0.22,251.375,130.0,55.99204,6.75074,2.14817,-2.99661,7.0,18.39881
250-500,ret_ex2020,30.0,0.95,0.84,0.06,0.1,387.375,246.0,56.01807,5.59457,2.44513,-3.06964,7.0,13.48822
500-1500,avg_ret,30.0,0.95,0.88,0.08,0.04,506.875,355.0,54.05672,4.81463,2.23488,-3.43789,7.0,11.07275
500-1500,ret_ex2020,30.0,0.95,0.88,0.08,0.04,506.875,355.0,54.05672,4.81463,2.23488,-3.43789,7.0,11.07275
1500-∞,avg_ret,30.0,0.9,0.9,0.1,0.0,1511.0,1187.0,44.8544,1.68153,0.26864,-3.11486,5.0,11.32528
1500-∞,ret_ex2020,30.0,0.9,0.9,0.1,0.0,1511.0,1187.0,44.8544,1.68153,0.26864,-3.11486,5.0,11.32528
