model,n,base_rate,AUC,AP,n@0.55,win@0.55,n@0.60,win@0.60,n@0.65,win@0.65,n@0.70,win@0.70
p_xgb,206165,0.313021,0.54302,0.36397,1073,0.60671,631,0.63233,440,0.640909,296,0.689189
p_lstm,206165,0.313021,0.539737,0.333118,1182,0.21912,510,0.217647,193,0.207254,34,0.382353
p_cnn,206165,0.313021,0.53874,0.34581,76522,0.34513,63174,0.350445,50737,0.357096,39393,0.363821
p_xl,206165,0.313021,0.547872,0.353834,313,0.482428,40,0.725,0,,0,
p_xc,206165,0.313021,0.545294,0.359659,25511,0.389832,10774,0.433358,2530,0.550198,765,0.65098
p_lc,206165,0.313021,0.543063,0.346393,27090,0.375895,11916,0.392162,2694,0.39124,436,0.309633
p_avg,206165,0.313021,0.548477,0.357343,3998,0.478989,1049,0.486177,334,0.517964,62,0.645161
p_avg_rank,206165,0.313021,0.572116,0.378184,87118,0.364793,70226,0.375573,54057,0.388664,39729,0.402804
p_w_33xgb_33lstm_33cnn,206165,0.313021,0.548477,0.357343,3998,0.478989,1049,0.486177,334,0.517964,62,0.645161
p_w_50xgb_25lstm_25cnn,206165,0.313021,0.551037,0.363021,1813,0.534473,616,0.587662,274,0.671533,105,0.695238
p_w_25xgb_50lstm_25cnn,206165,0.313021,0.550465,0.353862,1645,0.387234,487,0.373717,108,0.287037,3,0.0
p_w_25xgb_25lstm_50cnn,206165,0.313021,0.544577,0.354052,26261,0.384943,11102,0.416141,2402,0.482931,464,0.530172
p_w_40xgb_40lstm_20cnn,206165,0.313021,0.552518,0.359749,1135,0.461674,360,0.533333,67,0.641791,6,0.833333
p_w_40xgb_20lstm_40cnn,206165,0.313021,0.547049,0.358971,10685,0.432195,2329,0.531988,657,0.570776,254,0.645669
p_w_20xgb_40lstm_40cnn,206165,0.313021,0.546244,0.352386,11247,0.412288,2300,0.448696,528,0.420455,102,0.343137
p_w_50xgb_30lstm_20cnn,206165,0.313021,0.552448,0.363237,1216,0.51398,437,0.610984,171,0.707602,46,0.73913
p_w_50xgb_20lstm_30cnn,206165,0.313021,0.549645,0.362554,2885,0.531369,904,0.565265,379,0.649077,184,0.695652
p_w_30xgb_50lstm_20cnn,206165,0.313021,0.552231,0.355489,1158,0.369603,306,0.369281,35,0.4,0,
p_w_20xgb_50lstm_30cnn,206165,0.313021,0.548701,0.352191,2611,0.416699,765,0.362092,185,0.291892,20,0.35
p_w_30xgb_20lstm_50cnn,206165,0.313021,0.544779,0.35547,26122,0.386915,11016,0.420207,2370,0.508861,495,0.547475
p_w_20xgb_30lstm_50cnn,206165,0.313021,0.544345,0.35244,26426,0.383372,11254,0.412564,2436,0.463875,431,0.487239
