model,n,base_rate,AUC,AP,n@0.55,win@0.55,n@0.60,win@0.60,n@0.65,win@0.65,n@0.70,win@0.70
p_xgb,205522,0.312925,0.550885,0.365461,2098,0.557197,715,0.616783,197,0.761421,57,0.912281
p_lstm,205522,0.312925,0.529973,0.336884,51855,0.351384,34224,0.359309,24265,0.361756,17732,0.354839
p_avg,205522,0.312925,0.542629,0.349801,14936,0.382365,8276,0.393185,3830,0.416188,1274,0.4427
p_avg_rank,205522,0.312925,0.568023,0.373495,88969,0.361553,74777,0.370381,61099,0.379859,48446,0.389754
p_w20xgb,205522,0.312925,0.534403,0.34153,33930,0.365193,22573,0.367253,15399,0.35814,10267,0.355216
p_w30xgb,205522,0.312925,0.536951,0.343697,26947,0.371433,17475,0.366867,11195,0.360965,6962,0.369147
p_w40xgb,205522,0.312925,0.539717,0.34639,20754,0.374289,12605,0.370171,7418,0.377191,3903,0.382014
p_w50xgb,205522,0.312925,0.542629,0.349801,14936,0.382365,8276,0.393185,3830,0.416188,1274,0.4427
p_w60xgb,205522,0.312925,0.545566,0.354037,9832,0.4107,4244,0.446984,1595,0.460815,375,0.538667
p_w70xgb,205522,0.312925,0.548393,0.358715,5633,0.471507,2229,0.48856,635,0.535433,146,0.636986
p_w80xgb,205522,0.312925,0.550738,0.362697,3690,0.496477,1214,0.546952,335,0.650746,70,0.8
