model,n,base_rate,AUC,AP,n@0.55,win@0.55,n@0.60,win@0.60,n@0.65,win@0.65,n@0.70,win@0.70
p_xgb,205522,0.312925,0.550885,0.365461,2098,0.557197,715,0.616783,197,0.761421,57,0.912281
p_lstm,205522,0.312925,0.531496,0.338705,68303,0.350087,53528,0.355347,42337,0.361646,34510,0.36517
p_avg,205522,0.312925,0.541056,0.351567,28337,0.387268,17480,0.396396,7514,0.415092,3068,0.40515
p_avg_rank,205522,0.312925,0.571349,0.376405,88012,0.36328,74030,0.372092,60836,0.383194,48471,0.395742
p_w20xgb,205522,0.312925,0.534627,0.342704,52588,0.360272,39785,0.367299,31206,0.371467,24228,0.374979
p_w30xgb,205522,0.312925,0.536497,0.34509,44478,0.366788,33366,0.374003,25077,0.379033,17575,0.381394
p_w40xgb,205522,0.312925,0.538621,0.347999,36646,0.376876,26398,0.383249,17547,0.388328,8658,0.397089
p_w50xgb,205522,0.312925,0.541056,0.351567,28337,0.387268,17480,0.396396,7514,0.415092,3068,0.40515
p_w60xgb,205522,0.312925,0.543849,0.355905,17390,0.410753,7423,0.438233,3310,0.436254,1080,0.473148
p_w70xgb,205522,0.312925,0.546907,0.360825,8131,0.451974,3799,0.455646,1399,0.506791,338,0.565089
p_w80xgb,205522,0.312925,0.549828,0.365026,4788,0.482456,1905,0.52231,575,0.594783,128,0.703125
