variant,threshold,fold,n,n_pos,base_rate,n_pred_pos,pred_pos_rate,TP,FP,FN,TN,Accuracy,Precision,Recall,F1
baseline,0.5,2018,17521,4836,0.276012,0,0.0,0,0,4836,12685,0.723988,0.0,0.0,0.0
baseline,0.5,2019,17246,4950,0.287023,272,0.015772,167,105,4783,12191,0.716572,0.613971,0.033737,0.06396
baseline,0.5,2020,25133,11584,0.460908,975,0.038794,585,390,10999,13159,0.546851,0.6,0.050501,0.09316
baseline,0.5,2021,30847,10039,0.325445,71,0.002302,53,18,9986,20790,0.67569,0.746479,0.005279,0.010485
baseline,0.5,2022,26373,7363,0.279187,1749,0.066318,1056,693,6307,18317,0.734577,0.603774,0.14342,0.231782
baseline,0.5,2023,31959,9787,0.306236,1141,0.035702,569,572,9218,21600,0.69367,0.498685,0.058138,0.104136
baseline,0.5,2024,27783,6383,0.229745,657,0.023648,231,426,6152,20974,0.763237,0.351598,0.03619,0.065625
baseline,0.5,2025,28660,9371,0.326971,512,0.017865,350,162,9021,19127,0.679588,0.683594,0.037349,0.070829
baseline,0.5,pooled,205522,64313,0.312925,5377,0.026163,3011,2366,61302,138843,0.690213,0.559978,0.046818,0.086411
youtube,0.5,2018,17521,4836,0.276012,394,0.022487,190,204,4646,12481,0.723189,0.482234,0.039289,0.072658
youtube,0.5,2019,17246,4950,0.287023,764,0.0443,397,367,4553,11929,0.714716,0.519634,0.080202,0.138957
youtube,0.5,2020,25133,11584,0.460908,887,0.035292,584,303,11000,13246,0.550273,0.658399,0.050414,0.093657
youtube,0.5,2021,30847,10039,0.325445,0,0.0,0,0,10039,20808,0.674555,0.0,0.0,0.0
youtube,0.5,2022,26373,7363,0.279187,1775,0.067304,1108,667,6255,18343,0.737535,0.624225,0.150482,0.242504
youtube,0.5,2023,31959,9787,0.306236,1228,0.038424,616,612,9171,21560,0.693889,0.501629,0.062941,0.111847
youtube,0.5,2024,27783,6383,0.229745,3042,0.109491,900,2142,5483,19258,0.725552,0.295858,0.141,0.190981
youtube,0.5,2025,28660,9371,0.326971,453,0.015806,291,162,9080,19127,0.67753,0.642384,0.031053,0.059243
youtube,0.5,pooled,205522,64313,0.312925,8543,0.041567,4086,4457,60227,136752,0.68527,0.478286,0.063533,0.112166
